StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q4,Q5,Q5_4_TEXT,Q6,Q6_7_TEXT,Q7,Q8,Q8_7_TEXT,Q8,Q9,Q10
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Participant ID,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your age?,UK Ethnic Origin,What describes you best (choose one)? - Selected Choice,What describes you best (choose one)? - Other - Text,Where do/did you attend your undergraduate - Selected Choice,Where do/did you attend your undergraduate - Other - Text,How many years have you been programming?,What programming languages do you consider yourself proficient in? - Selected Choice,What programming languages do you consider yourself proficient in? - Others - Text,Do you have any experience grading large programming assignments?,How many years of experience in grading do you have?,How often do you grade programming assignments (a complete or partial set of submissions for a single coursework)?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_7_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_7_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}"
2024-02-26 09:29:33,2024-02-26 09:31:01,IP Address,100,88,True,2024-02-26 09:31:02,R_4pxVqGwhmyL17Ed,anonymous,EN-GB,4,Male,,27,Other (Arab or any others),PhD Student,,UK Institution,,5+ years,"Java,C++,Python,Others",,No,,
2024-02-26 09:41:42,2024-02-26 09:44:03,IP Address,100,140,True,2024-02-26 09:44:03,R_1lSwmvhLq1KA6oa,anonymous,EN-GB,10,Male,,25,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",PhD Student,,US/Canada Institution,,5+ years,"Java,C,Python,Others",Kotlin,Yes,2 - 3 years,3 - 5 per academic year
2024-02-26 09:48:31,2024-02-26 09:51:29,IP Address,100,178,True,2024-02-26 09:51:30,R_1FOMIKA8Aq2IqAQ,anonymous,EN-GB,18,Male,,23,White,Master's Student,,UK Institution,,5+ years,"Java,Python",,Yes,2 - 3 years,5+ per academic year
2024-02-26 09:50:42,2024-02-26 09:51:56,IP Address,100,73,True,2024-02-26 09:51:56,R_8KvgC1sqo2ACIEE,anonymous,EN-GB,19,Male,,24,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,Asian Institution,,5+ years,"Java,Python,Others","TypeScript, JavaScript",Yes,0 - 1 years,1 - 2 per academic year
2024-02-26 09:51:07,2024-02-26 09:52:01,IP Address,100,54,True,2024-02-26 09:52:01,R_5gYDEsUM61swCtT,anonymous,EN-GB,3,Male,,23,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,Asian Institution,,5+ years,"Java,C++,C,Python",,Yes,1 - 2 years,3 - 5 per academic year
2024-02-26 09:51:21,2024-02-26 09:52:05,IP Address,100,43,True,2024-02-26 09:52:05,R_546LZ4vqECGQpim,anonymous,EN-GB,16,Male,,21,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",3rd Year Student,,UK Institution,,5+ years,"Java,C++,Python",,No,,
2024-02-26 09:57:48,2024-02-26 09:58:47,IP Address,100,59,True,2024-02-26 09:58:48,R_6KGwDwkXTVk9hfo,anonymous,EN-GB,24,Male,,24,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,European Institution,,5+ years,"Java,C++,Python",,No,,
2024-02-26 10:11:30,2024-02-26 10:12:32,IP Address,100,61,True,2024-02-26 10:12:32,R_4rQcso0HoIoY0Zr,anonymous,EN-GB,2,Male,,22,Black/African/Caribbean,Master's Student,,UK Institution,,5+ years,"Java,Python",,No,,
2024-02-26 10:11:23,2024-02-26 10:12:41,IP Address,100,77,True,2024-02-26 10:12:41,R_43wJWyhK6ebIe7A,anonymous,EN-GB,25,Male,,24,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",PhD Student,,UK Institution,,5+ years,"Java,C,Python",,No,,
2024-02-26 10:32:13,2024-02-26 10:33:09,IP Address,100,55,True,2024-02-26 10:33:09,R_2k3psePOewuVTcB,anonymous,EN-GB,5,Male,,21,White,3rd Year Student,,UK Institution,,5+ years,"Java,Python,Others","Kotlin, Swift, Scala",No,,
2024-02-26 12:09:38,2024-02-26 12:10:40,IP Address,100,61,True,2024-02-26 12:10:40,R_67jz3MCYkaKqiuB,anonymous,EN-GB,17,Male,,22,White,Master's Student,,UK Institution,,5+ years,"Java,C,Python",,No,,
2024-02-26 12:37:05,2024-02-26 12:37:42,IP Address,100,37,True,2024-02-26 12:37:43,R_1rOEjKBAZNX2mTo,anonymous,EN-GB,9,Female,,25,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,UK Institution,,3 - 5 years,"Java,Python",,Yes,0 - 1 years,5+ per academic year
2024-02-26 12:40:24,2024-02-26 12:42:05,IP Address,100,100,True,2024-02-26 12:42:05,R_29cEmHF0qMBn0KB,anonymous,EN-GB,1,Male,,22,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,UK Institution,,5+ years,"Java,Python",,Yes,0 - 1 years,1 - 2 per academic year
2024-02-26 12:47:41,2024-02-26 12:48:14,IP Address,100,33,True,2024-02-26 12:48:15,R_3hANp0E6vSNjWax,anonymous,EN-GB,6,Male,,20,"Black/African/Caribbean,Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",3rd Year Student,,UK Institution,,5+ years,"Java,C++,C#,Python",,No,,
2024-02-26 12:53:14,2024-02-26 12:53:53,IP Address,100,38,True,2024-02-26 12:53:53,R_8LkxjR8xJUGI6Oc,anonymous,EN-GB,15,Male,,23,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,UK Institution,,5+ years,"Java,Python,Go",,No,,
2024-02-26 13:14:27,2024-02-26 13:15:06,IP Address,100,39,True,2024-02-26 13:15:06,R_5k7Yd7o89D8yrrm,anonymous,EN-GB,26,Male,,20,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",3rd Year Student,,UK Institution,,3 - 5 years,"Java,C++,Go",,Yes,0 - 1 years,1 - 2 per academic year
2024-02-26 13:32:17,2024-02-26 13:33:37,IP Address,100,79,True,2024-02-26 13:33:37,R_4c6cld1YA33Yg5r,anonymous,EN-GB,27,Male,,22,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Other,4th Year MSci,UK Institution,,5+ years,"Java,Python",,No,,
2024-02-26 15:45:21,2024-02-26 15:45:51,IP Address,100,29,True,2024-02-26 15:45:51,R_21HyULHhxNHobrP,anonymous,EN-GB,22,Male,,25,White,PhD Student,,UK Institution,,5+ years,"Java,C#,C,Python,Others",R,No,,
2024-02-26 15:55:41,2024-02-26 15:56:20,IP Address,100,39,True,2024-02-26 15:56:21,R_3uN3mrdEstYyhK9,anonymous,EN-GB,20,Male,,20,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",3rd Year Student,,UK Institution,,5+ years,"Java,C++,C#,Python",,No,,
2024-02-26 17:12:40,2024-02-26 17:13:21,IP Address,100,40,True,2024-02-26 17:13:21,R_7vEa8DCugBEmNTX,anonymous,EN-GB,11,Male,,21,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",3rd Year Student,,UK Institution,,5+ years,"Java,C++,Python",,No,,
2024-02-26 18:03:07,2024-02-26 18:04:27,IP Address,100,79,True,2024-02-26 18:04:28,R_5OUCp1iAl19VI76,anonymous,EN-GB,8,Female,,25,White,Master's Student,,Asian Institution,,3 - 5 years,"Java,Go",,Yes,0 - 1 years,1 - 2 per academic year
2024-02-26 22:18:47,2024-02-26 22:19:58,IP Address,100,70,True,2024-02-26 22:19:59,R_8k7bP6I6JMHzGm8,anonymous,EN-GB,14,Male,,23,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,Asian Institution,,5+ years,"Java,Python",,No,,
2024-02-27 11:27:54,2024-02-27 11:28:33,IP Address,100,39,True,2024-02-27 11:28:34,R_4duCgjJy0mXyohr,anonymous,EN-GB,12,Female,,22,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",3rd Year Student,,UK Institution,,5+ years,"Java,Python",,No,,
2024-02-27 11:40:33,2024-02-27 11:42:10,IP Address,100,97,True,2024-02-27 11:42:11,R_2TOsQ2c2XXSueit,anonymous,EN-GB,7,Male,,24,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",PhD Student,,Asian Institution,,5+ years,"Java,C++,C",,Yes,0 - 1 years,1 - 2 per academic year
2024-02-27 11:55:49,2024-02-27 11:56:35,IP Address,100,46,True,2024-02-27 11:56:36,R_4otgNuBUrXOvHON,anonymous,EN-GB,28,Male,,26,White,PhD Student,,UK Institution,,5+ years,"Java,C#",,No,,
2024-02-27 14:55:00,2024-02-27 14:56:07,IP Address,100,67,True,2024-02-27 14:56:08,R_4KjrmR0CVEIS9Xu,anonymous,EN-GB,13,Female,,27,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",PhD Student,,Asian Institution,,5+ years,"Java,C++,Python",,No,,
2024-02-27 15:59:54,2024-02-27 16:01:01,IP Address,100,67,True,2024-02-27 16:01:02,R_5D87VM6hOuDq6Ya,anonymous,EN-GB,21,Female,,26,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Master's Student,,Asian Institution,,5+ years,"Java,C++,C,Python,Others",Javascript,Yes,1 - 2 years,1 - 2 per academic year
2024-02-27 18:10:02,2024-02-27 18:11:20,IP Address,100,77,True,2024-02-27 18:11:20,R_2HdaGsbJq5fBNrs,anonymous,EN-GB,23,Male,,20,White,3rd Year Student,,UK Institution,,5+ years,"Java,C++,C,Python",,No,,
